@relation dataset_message_feat_train

@attribute comm numeric
@attribute adev numeric
@attribute ddev numeric
@attribute exp numeric
@attribute oexp numeric
@attribute modd numeric
@attribute mods numeric
@attribute nloc numeric
@attribute cyco numeric
@attribute addl numeric
@attribute reml numeric
@attribute label {defective,clean}

@data
1,1,3,11058,389,5,177,1098,293,41,36,defective
2,2,2,2,2,2,213,2235,189,1,1,clean
2,2,4,2,4,2,223,211,44,0,2,clean
2,2,6,58,32,2,186,978,177,24,2,clean
1,1,7,1680,88,1,192,187,33,60,28,clean
3,3,10,14,77,3,177,2705,294,28,2,clean
11,3,3,320,125,15,213,2446,654,24,18,defective
16,5,8,13,83,18,223,1669,390,10,2,defective
6,3,11,2,16,8,1577,1604,196,3,1,clean
4,1,12,1,448,6,186,1063,271,41,33,defective
6,5,17,118,74,10,192,1979,485,125,54,defective
4,3,20,718,43,4,177,2525,416,472,172,defective
3,3,3,36,18,8,213,2536,581,9,3,defective
3,2,5,177,23,4,1577,1609,366,47,47,defective
2,2,7,1857,115,2,192,4705,1144,123,15,defective
1,1,8,462,73,1,177,1538,367,66,7,defective
1,1,1,36,12,1,213,1084,325,6,6,clean
1,1,2,378,78,2,1577,42,12,21,18,clean
1,1,3,8,6,1,192,1036,206,2,4,clean
3,1,1,837,129,3,213,2232,626,21,21,clean
2,2,3,105,12,2,223,5357,1237,35,5,clean
4,2,5,46,47,5,1577,1964,283,6,6,defective
2,2,7,38,30,2,186,267,55,39,0,defective
5,3,10,16,66,6,192,762,172,20,3,defective
1,1,11,240,742,8,177,235,49,47,45,clean
7,1,1,950,277,7,213,363,78,19,20,defective
1,1,1,21,21,1,213,724,198,0,21,clean
2,2,3,2,7,2,177,3026,835,3,0,clean
1,1,1,7,8,1,213,86,11,7,1,clean
1,1,2,1,2,1,192,122,15,1,1,clean
1,1,1,1520,162,1,213,4322,318,152,10,clean
1,1,2,400,40,1,186,2574,814,20,20,clean
3,3,5,2667,34,4,192,4466,517,377,50,defective
1,1,6,10,254,4,177,1981,543,34,29,clean
1,1,1,1520,162,1,213,4322,318,152,10,clean
1,1,2,400,40,1,186,2574,814,20,20,clean
1,1,3,1940,393,1,192,4984,379,388,5,defective
1,1,4,11058,385,3,177,1156,333,68,60,defective
3,2,2,102,5,3,213,342,79,31,20,defective
1,1,3,2,2,1,223,856,189,2,0,clean
5,3,6,27,23,6,1577,168,43,17,42,clean
4,1,7,156,246,4,192,502,121,32,29,clean
1,1,1,30,11,1,213,829,93,5,6,clean
1,1,2,64,16,1,192,3349,638,8,8,clean
