@relation 'dataset_feat_message-weka.filters.unsupervised.attribute.Remove-R2,5'

@attribute comm numeric
@attribute ddev numeric
@attribute exp numeric
@attribute modd numeric
@attribute mods numeric
@attribute nloc numeric
@attribute cyco numeric
@attribute addl numeric
@attribute reml numeric
@attribute label {clean,defective}

@data
1,1,774,1,223,764,189,86,9,defective
1,1,537,1,223,949,220,537,0,defective
3,2,1501,3,1577,592,115,503,0,defective
2,3,8,2,177,456,93,45,36,defective
1,1,11562,1,223,284,48,82,141,clean
1,1,16,2,223,182,39,14,23,clean
1,2,60,1,186,1019,293,5,12,clean
1,1,1,1,223,9,0,1,1,clean
1,1,1,1,223,14,4,1,1,clean
1,1,1158,1,223,409,65,1158,0,clean
1,1,4,1,223,2,0,4,0,clean
1,1,4,1,223,2,0,4,0,clean
2,1,294,3,223,269,44,207,22,clean
3,2,9,3,1577,231,53,2,6,clean
