@relation 'dataset_feat_h-weka.filters.unsupervised.attribute.Remove-R3,5-6,8'

@attribute comm numeric
@attribute adev numeric
@attribute exp numeric
@attribute mods numeric
@attribute cyco numeric
@attribute addl numeric
@attribute reml numeric
@attribute label {clean,defective}

@data
1,1,1947,223,122,1947,0,clean
1,1,1947,223,122,1947,0,clean
1,1,1947,223,122,1947,0,clean
1,1,1947,223,122,1947,0,clean
1,1,1947,223,122,1947,0,clean
1,1,1947,223,122,1947,0,clean
1,1,1947,223,122,1947,0,clean
1,1,1947,223,122,1947,0,clean
1,1,3498,223,411,22,159,clean
1,1,9,1577,411,1,9,clean
1,1,230,223,23,230,0,clean
1,1,688,223,0,86,8,defective
1,1,5,223,0,0,5,clean
1,1,244,223,0,2,122,clean
1,1,112727,223,15,323,349,clean
3,3,7828,223,132,139,9,clean
1,1,7,223,39,7,0,clean
1,1,4,177,39,2,2,clean
1,1,35,223,186,7,5,clean
1,1,4,1577,144,4,4,clean
1,1,17,186,192,17,0,clean
1,1,5,192,104,5,0,clean
1,1,12320,223,148,160,77,defective
1,1,299,186,144,23,13,clean
1,1,162,223,424,27,6,clean
1,1,14,223,47,14,0,clean
1,1,6336,223,784,144,44,clean
1,1,754,1577,660,29,26,clean
1,1,176,177,424,176,0,clean
1,1,1294,223,187,1294,0,defective
2,2,17280,223,66,92,68,defective
1,1,1,1577,132,1,1,clean
1,1,450,223,72,50,9,defective
1,1,1,1577,132,1,1,clean
1,1,20,223,6,10,2,clean
3,3,17280,223,88,199,52,defective
2,2,6,223,65,82,50,clean
1,1,1294,223,187,1294,0,defective
1,1,410,223,70,10,41,clean
3,3,187,223,2010,54,6,defective
1,1,226576,1577,2100,476,476,defective
1,1,1,186,2114,1,0,clean
4,4,71,223,187,327,2,defective
2,2,537,223,220,273,2,clean
1,1,6,223,419,6,0,clean
1,1,7828,223,132,412,19,clean
1,1,204,223,136,204,0,clean
1,1,5562,223,570,309,18,clean
1,1,132,223,1114,22,6,clean
1,1,81,186,460,6,6,clean
2,2,361,192,218,92,4,defective
3,3,20,177,61,64,2,clean
1,1,1294,223,187,1294,0,defective
1,1,28,223,1195,7,4,clean
1,1,83,186,1201,83,0,clean
1,1,1294,223,187,1294,0,defective
1,1,37,223,840,37,0,clean
1,1,1294,223,187,1294,0,defective
1,1,3,192,188,1,3,clean
1,1,10,223,244,10,1,clean
2,2,1294,223,187,653,3,defective
1,1,8,223,14,8,1,clean
1,1,9,223,1112,3,3,clean
2,2,1,186,220,6,5,clean
3,3,4902,223,22,61,18,clean
1,1,425,1577,26,25,17,clean
1,1,35,192,33,35,0,clean
1,1,244,223,21,244,0,clean
1,1,1344,223,145,1344,0,clean
3,3,5,223,62,6,1,clean
1,1,4,177,0,2,2,clean
1,1,154,223,0,14,11,clean
1,1,2,1577,0,2,0,defective
1,1,8,186,69,8,0,clean
1,1,1,223,454,1,0,clean
1,1,806,1577,228,403,379,defective
2,2,632,192,135,13,47,clean
1,1,25,177,141,5,5,clean
1,1,72,223,50,9,8,defective
1,1,24,186,54,24,1,defective
1,1,285,223,104,19,15,clean
1,1,12,1577,161,12,1,clean
1,1,4,192,162,2,2,clean
1,1,9,177,174,3,3,clean
3,3,190,223,66,39,4,defective
1,1,20667,1577,91,83,249,defective
1,1,1,186,8,1,1,clean
1,1,8,223,227,35,7,clean
1,1,47,1577,156,0,402,clean
1,1,2,177,0,0,2,clean
4,4,23,223,156,17,14,clean
1,1,400,186,4,20,20,defective
1,1,9,177,63,9,0,clean
1,1,5,223,0,5,0,clean
2,2,4,223,0,3,3,clean
1,1,1,186,0,1,1,clean
1,1,72,223,50,9,8,defective
2,2,4,186,111,12,1,defective
1,1,3,192,63,0,3,clean
1,1,13,177,84,13,0,clean
1,1,25,223,160,5,5,clean
1,1,121,1577,164,11,11,clean
